transaction_id,sender_id,receiver_id,amount,timestamp
T00065,ACC_N38,ACC_N19,3945.12,2024-01-02 22:00:00
T00066,ACC_N9,ACC_N20,4967.45,2024-01-10 08:00:00
T00067,ACC_N38,ACC_N30,481.5,2024-01-04 06:00:00
T00068,ACC_N4,ACC_N7,4224.68,2024-01-03 01:00:00
T00069,ACC_N10,ACC_N9,727.78,2024-01-01 13:00:00
T00070,ACC_N4,ACC_N9,928.12,2024-01-09 09:00:00
T00071,ACC_N12,ACC_N5,1513.51,2024-01-10 22:00:00
T00072,ACC_N19,ACC_N15,1953.67,2024-01-04 22:00:00
T00073,ACC_N0,ACC_N30,4716.96,2024-01-03 11:00:00
T00074,ACC_N0,ACC_N21,3480.85,2024-01-02 05:00:00
T00075,ACC_N16,ACC_N28,2031.46,2024-01-06 05:00:00
T00076,ACC_N7,ACC_N2,3999.33,2024-01-11 14:00:00
T00077,ACC_N34,ACC_N21,2738.23,2024-01-08 13:00:00
T00078,ACC_N16,ACC_N0,533.38,2024-01-12 07:00:00
T00079,ACC_N2,ACC_N28,4534.85,2024-01-05 22:00:00
T00080,ACC_N3,ACC_N15,1661.59,2024-01-02 21:00:00
T00081,ACC_N31,ACC_N9,1929.79,2024-01-11 18:00:00
T00082,ACC_N18,ACC_N6,2934.45,2024-01-05 12:00:00
T00083,ACC_N18,ACC_N32,728.96,2024-01-08 05:00:00
T00084,ACC_N12,ACC_N36,2776.97,2024-01-06 23:00:00
T00085,ACC_N10,ACC_N23,1046.96,2024-01-02 04:00:00
T00086,ACC_N17,ACC_N4,3384.74,2024-01-11 11:00:00
T00087,ACC_N12,ACC_N20,240.09,2024-01-04 16:00:00
T00088,ACC_N39,ACC_N3,1104.5,2024-01-02 00:00:00
T00089,ACC_N24,ACC_N22,2148.12,2024-01-03 22:00:00
T00090,ACC_N7,ACC_N13,1053.2,2024-01-06 20:00:00
T00091,ACC_N32,ACC_N16,3634.22,2024-01-02 17:00:00
T00092,ACC_N7,ACC_N11,2734.1,2024-01-10 13:00:00
T00093,ACC_N25,ACC_N0,4708.79,2024-01-03 16:00:00
T00094,ACC_N34,ACC_N12,1246.64,2024-01-10 21:00:00
T00095,ACC_N37,ACC_N1,816.68,2024-01-09 15:00:00
T00096,ACC_N18,ACC_N0,2060.44,2024-01-05 09:00:00
T00097,ACC_N2,ACC_N24,1601.51,2024-01-04 23:00:00
T00098,ACC_N37,ACC_N13,1368.01,2024-01-03 00:00:00
T00099,ACC_N1,ACC_N10,4156.52,2024-01-10 16:00:00
T00100,ACC_N32,ACC_N7,1361.22,2024-01-10 15:00:00
